d,m,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
2.4500,6.1300,-8.8,-0.89,0.17,0.55,-1.51,-0.68,-0.97,0.82,0.16,-0.04,-0.54,-0.94,-0.72
4.5500,6.3700,-16.46,0.0,-2.13,0.02,1.14,0.42,-0.07,1.33,-0.22,-2.04,-0.69,-0.12,-0.38
5.2900,6.3000,-12.64,3.16,1.85,0.69,-0.01,-0.43,-0.99,0.86,1.14,0.44,-0.59,-0.09,0.95
3.6000,6.0400,-6.93,0.92,0.45,0.04,0.48,1.43,-0.68,-0.65,-0.3,-0.19,0.49,0.11,-0.04
5.4300,6.3000,-18.42,-1.13,-2.66,0.33,2.15,1.29,-0.67,-0.02,0.31,0.4,0.95,-0.06,-0.57
3.2300,6.3900,-12.16,-2.23,-1.25,-1.27,-1.47,1.41,-1.47,-0.96,-0.37,-1.13,0.73,-0.48,-0.58
4.7500,5.7300,-11.03,-3.18,-1.88,-2.22,-4.08,-0.92,-0.43,-0.58,-0.58,-0.33,-0.11,-0.15,1.46
3.3200,5.8900,-13.65,-1.81,1.11,-1.58,-2.36,-0.67,-1.2,0.36,-0.01,-0.72,-0.87,-1.28,-1.11
5.0500,6.3100,-17.11,-2.5,0.41,-3.36,-2.86,-0.97,-1.67,-0.16,-0.23,0.11,0.38,-0.03,-0.11
2.6600,6.0200,-8.94,-4.19,-2.18,-1.92,-1.82,-0.36,-0.06,-0.39,-0.14,-0.37,-0.28,0.35,0.61
3.9500,4.6800,-15.4,-2.5,-1.36,-0.13,-0.08,1.92,-1.03,-0.4,-0.3,-1.38,0.02,-0.78,-0.85
3.4700,6.4300,-8.79,-1.62,-2.01,-1.79,-1.33,0.89,-1.13,-0.6,-0.15,-0.86,0.35,0.49,0.52
4.3300,6.3500,-12.71,-3.28,0.03,-0.03,0.33,1.2,-0.87,0.53,-0.04,-1.44,-0.85,-0.87,-0.09
3.1000,6.3300,-10.41,-2.64,-0.16,-0.97,-0.79,1.31,-0.07,0.26,0.0,-0.48,0.63,0.92,1.14
2.9000,6.1100,-10.26,-1.19,0.02,-0.3,0.11,0.63,0.54,1.33,0.24,-1.15,-0.98,-1.26,-0.64
5.1100,5.4400,-18.08,-3.99,-1.39,-2.67,-2.36,1.67,-0.14,-1.38,-0.94,-0.51,0.56,-0.13,-0.28
2.2200,5.5900,-8.05,-1.34,1.54,1.69,0.35,0.83,-0.31,0.63,0.92,-0.35,-0.8,0.07,-0.59
5.1800,5.3600,-7.38,-0.14,2.12,0.2,-0.09,0.57,0.21,-0.25,-0.09,0.45,-0.22,0.07,0.23
3.7800,7.8100,-7.62,0.47,1.65,-0.25,-1.57,1.3,0.0,-0.68,1.03,-0.71,-0.07,0.5,0.25
3.5900,6.7600,-12.54,-4.69,1.35,2.73,-1.24,-0.93,-0.04,0.15,0.35,0.31,0.68,-0.13,0.11
2.4200,8.6500,-11.0,-2.18,1.78,1.73,-1.45,0.51,0.0,0.24,0.41,-0.19,0.16,0.17,-0.42
2.5100,6.4900,-11.34,-4.32,0.19,-0.44,-1.2,-1.01,1.14,-0.19,0.12,-0.01,-0.12,-0.2,-0.81
2.2900,6.6000,-8.95,-2.41,0.27,0.78,-0.88,-0.44,-0.6,0.51,0.76,0.41,0.63,0.04,-0.35
3.2400,6.3700,-11.2,-3.91,2.26,1.6,-1.61,-0.54,0.88,-0.23,-0.27,-0.17,0.61,0.19,0.06
2.6500,5.2700,-11.34,-2.27,1.35,1.41,-0.28,1.5,-0.24,0.24,0.53,0.29,0.21,-0.05,0.39
3.8300,5.8700,-19.57,-7.9,0.22,-1.06,-2.07,1.42,-0.19,0.2,-0.05,0.55,0.51,0.48,-0.13
3.0500,6.6900,-13.4,-3.09,1.21,0.96,-0.59,0.34,-1.52,0.4,-0.29,0.32,0.15,-0.46,-0.43
4.5300,6.6400,-14.98,-2.11,-2.08,-0.29,2.89,1.46,-1.25,-0.51,0.32,0.44,-0.63,-0.76,-0.6
4.7600,6.4700,-13.84,-2.43,-3.26,-2.14,-2.2,0.73,-0.33,0.06,1.01,-0.85,-0.62,0.1,-0.4
1.5000,5.1400,-7.41,-3.1,-0.64,-0.69,0.33,0.37,-0.42,0.02,-0.05,-0.02,-0.19,0.0,0.73
4.5100,6.4400,-14.14,-1.89,-3.46,-2.36,-1.58,0.0,-0.1,0.32,-0.16,-0.56,0.28,0.94,0.03
4.2700,7.5000,-6.33,2.08,-0.34,1.09,0.42,-0.07,-0.4,-0.18,0.22,0.49,0.15,0.12,-0.4
3.3700,5.5500,-8.25,-1.29,0.76,-1.54,-0.45,0.82,-0.06,0.36,0.45,-1.27,-1.4,-1.34,-0.61
3.0100,4.9500,-10.67,-3.88,-1.68,-0.05,1.26,1.59,-0.33,-0.16,0.67,0.2,-0.27,-0.23,0.59
1.6700,6.0900,-10.7,-3.45,-0.19,0.11,0.1,0.24,-0.29,0.84,-0.05,0.11,-0.02,-0.45,0.46
1.9700,5.4600,-5.05,-1.22,0.3,0.43,-0.29,-0.19,-0.81,-0.74,-1.03,-0.66,0.14,0.04,-0.28
4.0000,5.2400,-21.87,-7.36,-0.31,-0.87,-0.68,1.46,-1.23,0.62,-0.3,1.07,-0.64,0.51,0.38
