d,m,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
7.4000,11.6200,-26.12,-8.27,-3.98,0.5,-2.6,0.84,-0.79,-1.19,0.04,-1.04,-0.37,1.36,0.46
7.7800,12.3100,-22.82,-9.82,-4.93,-1.17,-2.78,0.94,-0.17,-0.94,-0.45,-0.68,0.86,0.78,-0.04
8.3100,12.0600,-31.85,-6.09,-3.12,0.57,-3.27,1.92,0.94,-1.72,0.99,-1.53,-0.1,1.79,0.02
9.2100,11.7200,-30.67,-6.52,-3.47,0.92,-3.01,1.18,-0.47,-1.71,0.85,-1.3,-0.17,1.96,0.08
9.6400,11.4100,-30.0,-7.65,-4.28,-0.17,-3.22,1.08,-0.39,-1.25,1.03,-0.32,-0.11,1.16,-0.6
8.2300,12.3300,-24.05,-8.77,-5.07,-0.82,-2.99,1.3,-0.24,-1.15,-0.14,-0.88,0.0,0.8,-0.07
5.8500,12.1600,-23.5,-6.69,-2.43,0.6,-2.6,1.23,0.58,0.14,0.73,-0.77,0.29,1.18,0.48
10.0700,12.4500,-31.52,-6.32,-3.02,0.56,-3.53,1.22,0.57,-0.77,1.64,-1.02,-0.33,2.2,-0.04
3.2600,12.1800,-10.68,-2.37,-3.33,0.0,-1.46,-1.4,-0.2,-0.72,-0.09,-0.39,-0.17,0.37,0.58
6.6900,12.1300,-24.74,-2.3,-0.04,1.84,-2.57,1.19,0.15,-0.91,0.92,-0.99,-0.12,1.54,-0.45
8.0800,8.9900,-24.66,-9.03,-4.25,0.43,-2.34,0.76,-0.41,-1.1,-0.3,-1.38,-0.26,0.67,0.65
1.8000,10.6100,-6.72,-1.89,-1.63,0.19,0.16,0.86,-0.47,-0.45,-0.37,-0.14,-0.46,-0.01,-0.11
9.2100,11.7100,-32.73,-6.44,-3.86,0.68,-3.19,1.8,0.86,-1.08,0.73,-1.33,-0.56,1.87,-0.17
2.9100,10.4100,-7.84,-1.15,-1.8,0.02,0.42,0.44,-0.2,-0.26,-0.04,0.07,-0.1,-0.33,-0.62
2.9700,9.2000,-10.49,0.6,-2.86,0.78,-1.71,0.37,-0.05,-0.05,0.14,-0.01,0.29,0.81,-0.48
2.7700,11.6500,-8.67,-1.71,-2.3,1.03,-0.74,0.51,0.37,0.42,-0.02,-0.11,0.49,0.26,-0.28
7.9000,9.4100,-19.08,-9.34,-4.38,-1.27,-2.95,0.02,-0.75,-0.2,-0.28,-0.29,0.35,0.5,-0.19
9.2100,12.1000,-30.8,-5.45,-2.27,0.65,-3.26,1.66,0.68,-1.23,1.27,-1.39,-0.38,1.8,-0.16
10.9300,11.5100,-32.13,-6.35,-3.95,0.93,-3.1,2.03,0.82,-0.97,1.07,-1.28,-0.39,1.68,-0.11
10.0100,12.4900,-31.05,-7.6,-4.13,0.13,-3.15,1.39,0.11,-1.05,1.08,-0.92,-0.34,1.15,-0.2
7.0600,11.6200,-24.05,-8.76,-3.93,0.41,-2.06,1.35,-0.31,-0.79,-0.09,-1.03,-0.1,1.07,0.35
7.9500,11.8400,-20.98,-10.16,-4.51,-1.2,-2.61,-0.52,-1.53,-1.06,0.09,0.34,0.94,0.33,0.14
4.8900,11.9400,-8.74,2.34,-2.44,0.49,-0.53,0.77,0.28,0.64,-0.55,-0.04,-0.23,0.61,-0.01
7.2300,10.3100,-27.16,-4.68,-2.5,0.87,-3.57,0.61,0.99,-0.37,1.36,-1.46,-0.65,0.9,-0.54
10.2600,10.2600,-31.48,-6.3,-3.86,1.1,-3.14,1.47,0.49,-1.06,0.55,-1.03,-0.73,1.61,-0.25
7.0800,9.9900,-26.11,-7.85,-3.64,-0.15,-2.17,1.68,0.59,-0.53,0.42,-0.84,0.39,1.85,0.29
4.8500,11.1100,-22.58,-7.77,-1.41,1.39,-1.23,0.78,-0.78,-0.15,0.7,-0.58,0.5,0.04,-0.31
7.7200,11.6800,-27.76,-5.69,-3.32,1.13,-2.64,1.93,0.76,-0.31,1.51,-1.07,-0.45,0.95,-0.37
8.6900,11.5700,-28.4,-7.08,-4.69,0.08,-2.96,1.52,0.15,-0.89,0.77,-0.82,-0.59,0.77,-0.68
8.3700,12.7000,-24.19,-8.21,-5.19,-0.94,-3.3,1.14,-0.25,-1.45,-0.16,-0.58,-0.32,1.01,0.5
7.8000,13.2800,-20.84,-9.43,-4.99,-0.7,-2.43,0.27,-0.8,-0.33,-0.23,-0.89,0.84,0.7,-0.08
5.6500,12.2300,-7.68,1.62,-3.69,1.72,-0.38,0.73,-0.18,0.48,-0.14,0.4,0.02,0.4,-0.03
5.5700,10.8500,-13.26,2.5,-3.37,1.42,-2.85,0.63,0.13,-0.43,0.71,-0.03,0.0,0.57,-0.52
12.2600,12.9500,-33.54,-7.7,-4.68,0.43,-3.4,1.27,0.24,-1.78,0.47,-1.22,-0.65,1.29,-0.33
7.0200,12.7000,-25.53,-8.03,-4.67,-0.36,-2.53,0.88,-0.88,-1.11,-0.14,-0.55,0.05,1.41,-0.03
7.8400,13.2200,-18.28,-9.2,-4.86,-0.68,-1.99,0.46,-0.91,-0.36,-0.07,0.41,0.61,0.53,0.21
12.6900,12.8400,-33.62,-6.03,-4.54,0.2,-3.89,2.26,1.05,-2.01,1.02,-1.82,-0.74,1.32,-0.54
9.2700,13.5500,-29.15,-7.14,-4.64,0.29,-3.13,1.45,0.02,-1.25,0.27,-1.04,-0.27,1.82,0.24
7.6500,13.3700,-26.56,-8.16,-4.19,-0.4,-2.68,0.74,-0.54,-1.33,-0.26,-1.32,-0.34,1.52,0.09
7.6600,12.5900,-17.16,-9.01,-5.0,-1.8,-3.27,-0.35,-1.18,-0.74,-1.01,-0.49,-0.1,0.14,-0.52
8.9300,12.3700,-28.78,-7.87,-4.34,-0.2,-3.45,1.27,-0.2,-1.1,0.19,-0.63,-0.43,1.5,0.41
7.5500,13.6300,-17.47,-9.28,-5.2,-1.45,-2.29,0.72,-0.54,-1.18,-0.76,-0.1,0.39,0.17,0.09
8.9100,12.9400,-30.46,-5.92,-2.32,1.06,-3.29,1.59,0.8,-1.4,0.38,-1.39,-0.15,1.55,-0.33
10.2300,12.1500,-30.33,-6.06,-4.32,1.02,-4.13,1.05,0.7,-0.81,0.76,-1.52,-0.37,2.05,0.19
10.2100,13.1300,-30.96,-6.19,-3.88,0.97,-3.7,0.78,-0.55,-1.79,0.26,-2.06,-1.01,1.58,-0.39
8.3100,11.9900,-28.27,-5.14,-3.54,1.71,-1.93,2.68,0.57,-1.07,0.91,-0.91,-0.59,1.11,-0.65
7.2600,12.6600,-25.73,-7.52,-3.92,-0.21,-3.3,1.21,-0.52,-1.29,0.0,-0.6,-0.02,0.74,-0.06
7.7600,10.9100,-17.6,-8.43,-4.8,-1.17,-2.59,0.76,-0.44,-1.12,-0.51,-0.07,0.46,0.34,0.08
8.7800,12.6300,-31.32,-5.4,-2.87,1.28,-3.2,1.21,1.08,-1.37,-0.03,-2.58,-0.56,1.51,-1.45
7.4300,12.1100,-28.54,-4.82,-3.23,0.92,-3.06,1.46,-0.08,-1.31,0.88,-1.51,-0.6,1.38,-0.56
9.7800,10.8200,-30.28,-7.34,-4.85,0.78,-2.66,1.12,-0.22,-1.01,1.04,-0.19,-0.15,1.15,-0.85
7.4900,11.9700,-22.98,-7.82,-4.28,-0.25,-2.63,1.58,-0.29,-1.2,-0.15,-0.75,0.28,1.34,0.08
8.3000,11.9800,-21.89,-8.33,-4.85,-0.24,-2.49,1.44,-0.64,-1.12,-0.28,-1.08,-0.07,0.99,0.14
7.7700,11.5800,-18.83,-9.22,-4.36,-0.91,-2.4,-0.16,-1.31,-0.66,0.2,0.03,0.81,0.43,0.11
7.7400,11.9700,-31.09,-5.13,-2.69,1.32,-3.13,2.51,0.45,-1.9,0.71,-1.35,-1.29,0.75,-0.49
8.1200,10.7900,-27.17,-6.91,-2.95,0.07,-3.24,1.12,0.5,-0.61,0.0,-1.33,-0.99,1.81,-0.81
9.8000,10.5300,-31.1,-7.77,-4.27,0.64,-2.97,1.5,0.03,-1.18,0.05,-1.04,-0.66,1.41,-0.24
7.3000,12.1800,-19.51,-9.18,-4.84,-1.44,-2.6,0.61,-0.59,-1.02,-0.53,-0.6,0.29,0.13,-0.09
5.4200,11.4800,-25.92,-1.76,-1.41,1.14,-3.82,1.2,0.54,-1.22,1.22,-1.73,-0.65,1.31,-0.73
9.2700,12.2400,-28.56,-5.34,-4.18,0.88,-4.34,0.83,-0.19,-0.74,0.51,-1.43,-0.39,1.6,0.1
7.9600,11.8400,-28.28,-7.06,-3.76,0.79,-2.47,1.67,0.02,-0.77,1.05,-0.9,0.04,1.2,-0.5
7.7300,11.7800,-20.58,-9.15,-4.95,-0.92,-2.74,0.77,-0.13,-0.72,-0.46,-0.78,0.6,0.21,-0.22
6.2400,12.4600,-25.38,-5.13,-2.47,1.85,-1.04,1.95,0.44,-1.73,0.84,-1.01,-0.15,1.02,-1.06
9.7000,12.2700,-30.73,-5.59,-3.28,1.63,-2.77,1.77,0.21,-0.77,1.0,-1.83,-0.81,1.9,-0.45
9.1800,12.3500,-29.15,-6.78,-4.5,0.48,-3.34,1.48,-0.18,-1.64,-0.25,-1.23,-0.45,1.03,-0.54
8.2100,11.8800,-26.11,-8.67,-4.87,0.29,-2.8,0.64,-0.81,-1.33,-0.5,-1.21,-0.23,0.95,0.27
6.8700,12.4200,-18.15,-9.4,-4.35,-0.61,-2.01,-0.69,-1.68,-0.58,-0.15,0.21,0.8,0.16,0.24
6.7700,12.3800,-20.92,-9.74,-3.66,0.54,-1.68,0.09,-0.15,0.14,0.06,-1.1,0.2,0.78,0.17
11.5700,12.6000,-32.37,-6.56,-4.39,0.38,-4.06,1.53,0.65,-0.69,1.18,-1.49,0.02,2.11,-0.33
