d,m,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
2.3900,6.6900,-9.83,-3.22,-0.19,-1.07,-0.67,1.21,0.13,-0.57,0.1,0.68,-0.02,-0.38,-0.06
2.2700,5.6400,-10.09,-1.95,0.92,0.26,-1.38,0.47,-0.4,0.07,0.11,-1.15,-0.7,-0.47,-0.62
2.3700,6.9200,-7.3,-2.56,0.63,0.27,-0.48,1.37,0.97,0.01,-0.49,-0.62,-0.32,0.75,0.5
4.4000,6.8100,-21.91,-6.76,-0.21,0.74,-0.99,1.87,-0.14,1.31,1.03,0.96,0.36,0.22,0.0
3.0100,5.5600,-13.12,-2.66,0.22,-1.23,-0.38,-0.79,-0.2,-0.25,0.09,0.84,0.83,0.39,0.29
3.2600,5.7800,-12.9,-4.46,-0.06,-1.03,0.42,1.74,-0.02,-0.15,-0.68,0.04,0.95,0.76,-1.24
1.7600,6.6300,-8.9,-4.17,-0.8,0.23,-1.26,-0.14,-0.31,0.0,-0.4,0.13,0.32,0.83,0.27
2.3900,9.0800,-9.08,-0.79,2.04,0.88,-1.08,0.56,-0.3,0.44,0.68,-0.1,-0.29,-0.72,-0.74
4.9600,7.6200,-9.69,3.18,-1.34,-0.95,0.22,0.0,-0.35,-0.02,-0.26,-0.18,-0.55,-0.69,0.19
2.1500,6.7200,-10.36,-3.48,0.7,0.63,-1.1,0.47,0.28,0.34,0.17,-0.11,-0.76,-0.51,-0.64
3.1200,7.0500,-9.66,0.7,2.03,1.27,-0.85,0.75,-0.84,0.89,-0.16,0.54,0.22,0.01,-0.14
4.2500,6.5000,-6.83,1.77,0.29,0.31,1.26,0.15,-0.03,-0.65,-0.49,0.85,-0.44,0.59,-0.62
4.4400,6.8600,-19.62,-3.96,1.4,0.59,-1.63,2.33,-0.83,-0.47,1.29,-1.04,-0.47,1.22,0.25
4.2900,7.4300,-10.69,1.98,0.87,0.95,-1.33,0.65,0.1,-0.62,1.34,-0.47,0.78,0.72,0.61
1.2900,7.0300,-7.57,-3.31,-0.5,-0.8,-0.98,-0.89,-0.61,0.03,-0.04,0.09,0.34,0.14,-0.54
3.2100,5.5600,-13.8,-3.64,-0.87,-1.09,-0.61,1.52,0.19,-0.18,0.32,0.71,1.08,0.61,-0.15
3.1300,6.4400,-8.19,0.03,1.61,0.26,-0.23,0.8,0.52,0.1,-0.59,-0.82,-0.3,0.06,-0.08
2.6200,5.6600,-9.83,-1.3,-0.48,-0.82,-0.86,1.23,-0.99,-0.77,-0.53,-1.08,-0.1,-0.18,-0.82
1.9600,7.1500,-9.94,-2.62,1.44,0.43,0.2,0.21,0.01,-0.02,-0.34,-0.25,-0.79,0.03,-0.19
2.3400,4.7900,-8.82,-2.92,-0.88,-1.03,-2.12,0.14,-0.95,-1.01,-0.09,-0.42,-0.74,0.04,-0.12
3.1900,6.8700,-9.61,0.9,2.84,0.58,-0.82,0.1,-0.79,0.98,0.54,-0.17,-0.34,-0.65,-0.05
2.8200,4.9300,-14.11,-2.72,1.92,-1.14,-0.61,-0.77,0.03,-0.04,0.03,-0.22,-0.09,-0.02,0.05
3.3700,6.0900,-14.68,-3.0,1.53,-0.72,-1.77,-0.09,-0.31,0.07,-0.37,1.09,0.18,0.75,-0.6
2.9300,5.6500,-10.36,-1.55,-1.61,-1.16,-0.81,0.04,-0.94,0.33,0.95,-0.67,-1.37,-0.12,-0.65
2.8600,5.2200,-8.55,-1.79,1.62,0.0,-0.55,-0.74,-1.43,-0.26,-0.66,0.05,0.23,-0.48,-0.68
3.4000,6.1000,-14.83,-2.11,-0.28,-0.54,-1.17,-0.35,-0.9,1.23,0.3,-0.15,0.46,-0.55,0.16
2.5900,4.8100,-11.74,-0.96,-1.29,-0.61,0.01,1.17,-0.47,-0.73,-0.93,-0.79,0.06,-0.27,-1.49
1.8100,5.3100,-8.67,-4.53,-1.18,-1.32,-0.92,-0.32,-0.16,0.29,-0.56,-0.42,0.05,0.01,0.11
2.6400,4.7800,-16.31,-6.28,-0.21,0.07,-0.49,1.44,-0.77,-0.13,0.59,0.39,-0.43,-0.45,-0.08
2.1300,6.0800,-9.86,-1.01,2.25,0.04,0.75,0.18,0.44,-0.4,-0.65,-0.34,0.0,-0.17,0.0
2.2300,6.4800,-10.1,-3.46,-0.82,-1.22,-1.12,0.64,0.04,0.5,-0.3,-0.38,0.56,0.5,-0.3
3.1800,7.5200,-6.96,0.77,0.86,0.5,-0.14,0.82,-0.59,-0.66,0.31,-0.4,-0.82,0.29,-0.33
2.4300,5.2000,-4.76,-0.53,0.98,0.15,-0.21,-0.29,-0.04,0.41,0.22,-0.19,-0.35,0.51,0.62
2.4200,7.4200,-10.93,-4.33,-0.55,-0.91,0.23,1.16,0.32,-0.12,0.93,0.6,-0.15,0.18,-0.68
3.1000,6.6800,-5.82,0.17,-0.73,0.48,0.1,1.38,-0.2,-0.33,-0.19,0.3,-0.14,0.12,-0.87
